,date,source,title,author,url
0,2023-01-11T05:00:57Z,"{'id': 'cnn', 'name': 'CNN'}",Biden's documents drama gives Republicans a fresh narrative to use against him,Stephen Collinson,https://www.cnn.com/2023/01/11/politics/biden-documents-republicans/index.html
1,2023-01-19T19:56:58Z,"{'id': 'cnn', 'name': 'CNN'}",Judge refuses to dismiss Peter Navarro's contempt of Congress case and clears the way for trial,Tierney Sneed,https://www.cnn.com/2023/01/19/politics/peter-navarro-contempt-of-congress-case/index.html
2,2023-01-12T20:54:26Z,"{'id': 'cnn', 'name': 'CNN'}",Key questions and what's next in the Biden special counsel probe,Marshall Cohen,https://www.cnn.com/2023/01/12/politics/whats-next-special-counsel-biden-documents/index.html
3,2023-01-03T12:00:40Z,"{'id': 'cnn', 'name': 'CNN'}",Florida Gov. DeSantis begins second term with spotlight on presidential ambitions,"Gregory Krieg, Jeff Zeleny",https://www.cnn.com/2023/01/03/politics/ron-desantis-inauguration/index.html
4,2023-01-29T21:43:50Z,"{'id': 'cnn', 'name': 'CNN'}",DOJ tells senators it is working to satisfy Trump and Biden document demands without harming special counsel probes,Zachary Cohen,https://www.cnn.com/2023/01/29/politics/doj-senate-intelligence-trump-biden-classified-documents/index.html
5,2023-01-22T22:02:38Z,"{'id': 'cnn', 'name': 'CNN'}",How the White House plans to target 18 House Republicans from districts Biden won,Edward-Isaac Dovere,https://www.cnn.com/2023/01/22/politics/house-republicans-biden-districts/index.html
6,2023-01-24T15:17:10Z,"{'id': 'cnn', 'name': 'CNN'}",Democratic congressman says he is 'profoundly troubled' by Biden document disclosures,Shawna Mizelle,https://www.cnn.com/2023/01/24/politics/jim-himes-biden-documents-cnntv/index.html
7,2023-01-24T18:00:25Z,"{'id': 'cnn', 'name': 'CNN'}","Daily border encounters have dropped by more than half in January, DHS official says",Priscilla Alvarez,https://www.cnn.com/2023/01/24/politics/border-encounters-january-dhs/index.html
8,2023-01-26T17:16:16Z,"{'id': 'cnn', 'name': 'CNN'}",National Archives asks former presidents and vice presidents to check for classified and presidential documents,"Jamie Gangel, Jeremy Herb, Elizabeth Stuart",https://www.cnn.com/2023/01/26/politics/archives-letter-former-presidents-vice-presidents-classified-documents/index.html
9,2023-01-10T10:01:20Z,"{'id': 'cnn', 'name': 'CNN'}",Biden tries to stay focused on Mexico City summit after revelation that classified documents were found in his private office,"MJ Lee, Phil Mattingly",https://www.cnn.com/2023/01/10/politics/classified-documents-joe-biden/index.html
10,2023-01-24T05:02:06Z,"{'id': 'cnn', 'name': 'CNN'}",How the most unenviable job in Washington keeps getting harder,Stephen Collinson,https://www.cnn.com/2023/01/24/politics/attorney-general-merrick-garland-biden-trump/index.html
11,2023-01-02T05:13:25Z,"{'id': 'cnn', 'name': 'CNN'}",Five political trends that could make 2023 a momentous year,Stephen Collinson,https://www.cnn.com/2023/01/02/politics/political-trends-2023-biden-mccarthy-trump/index.html
12,2023-01-25T12:00:13Z,"{'id': 'cnn', 'name': 'CNN'}",CNN Poll: Broad majority of Americans approve of appointment of special counsel to investigate Biden documents,"Jennifer Agiesta, Ariel Edwards-Levy",https://www.cnn.com/2023/01/25/politics/cnn-poll-biden-documents-special-counsel/index.html
13,2023-01-02T18:54:58Z,"{'id': 'cnn', 'name': 'CNN'}",'This made us all unemployable': Trump White House aides respond to January 6 in angry text exchange,Katelyn Polantz,https://www.cnn.com/2023/01/02/politics/january-6-text-messages/index.html
14,2023-01-09T15:31:50Z,"{'id': 'cnn', 'name': 'CNN'}",Georgia grand jury investigating Trump and 2020 election aftermath completes its work | CNN Politics,"Sara Murray, Jason Morris",https://www.cnn.com/2023/01/09/politics/fulton-county-grand-jury-trump-election/index.html
15,2023-01-06T05:00:43Z,"{'id': 'cnn', 'name': 'CNN'}",McCarthy is being consumed by the MAGA politics he helped push,Stephen Collinson,https://www.cnn.com/2023/01/06/politics/maga-politics-consume-kevin-mccarthy/index.html
16,2023-01-06T11:00:53Z,"{'id': 'cnn', 'name': 'CNN'}",Stabenow's retirement gives Republicans an opening in Michigan. But will they take it?,Harry Enten,https://www.cnn.com/2023/01/06/politics/michigan-senate-election-republicans-debbie-stabenow/index.html
17,2023-01-26T22:46:20Z,"{'id': 'cnn', 'name': 'CNN'}",Attorney General Merrick Garland faces a difficult choice: whether to appoint a Pence special counsel,"Evan Perez, Kevin Liptak, Hannah Rabinowitz",https://www.cnn.com/2023/01/26/politics/mike-pence-merrick-garland/index.html
18,2023-01-23T20:55:59Z,"{'id': 'cnn', 'name': 'CNN'}","Fact check: McCarthy's false, misleading and evidence-free claims since becoming House speaker",Daniel Dale,https://www.cnn.com/2023/01/23/politics/fact-check-kevin-mccarthy-claims-debt-irs-biden-trump/index.html
19,2023-01-04T12:58:34Z,"{'id': 'cnn', 'name': 'CNN'}",The latest on the House speaker vote,"By <a href=""/profiles/aditi-sandal"">Aditi Sangal</a>, <a href=""/profiles/adrienne-vogt"">Adrienne Vogt</a>, Mike Hayes, <a href=""/profiles/maureen-chowdhury"">Maureen Chowdhury</a> and <a href=""/profiles/elise-hammond"">Elise Hammond</a>, CNN",https://www.cnn.com/politics/live-news/house-speaker-leadership-vote-1-4-23/index.html
20,2023-01-26T10:03:37Z,"{'id': 'cnn', 'name': 'CNN'}",The latest leadership test for the Republican Party will be settled by secret ballot,"Jeff Zeleny, Gabby Orr",https://www.cnn.com/2023/01/26/politics/rnc-chair-vote-meeting/index.html
21,2023-01-24T17:02:14Z,"{'id': 'cnn', 'name': 'CNN'}",CNN Exclusive: Classified documents found at Pence's Indiana home,"Jamie Gangel, Jeremy Herb, Evan Perez",https://www.cnn.com/2023/01/24/politics/pence-classified-documents-fbi/index.html
22,2023-01-03T05:06:02Z,"{'id': 'cnn', 'name': 'CNN'}",Why the right has already won the House speakership election,Ronald Brownstein,https://www.cnn.com/2023/01/03/politics/right-house-speakership-election/index.html
23,2023-01-20T01:44:18Z,"{'id': 'cnn', 'name': 'CNN'}",Former GOP Gov. Mitch Daniels to decide on Indiana Senate run in coming weeks,Eric Bradner,https://www.cnn.com/2023/01/19/politics/mitch-daniels-indiana-senate/index.html
24,2023-01-05T15:16:50Z,"{'id': 'cnn', 'name': 'CNN'}",First on CNN: Biden to honor 12 people with Presidential Citizens Medal on two-year anniversary of January 6 insurrection,MJ Lee,https://www.cnn.com/2023/01/05/politics/joe-biden-january-6-anniversary/index.html
25,2023-01-04T19:47:51Z,"{'id': 'cnn', 'name': 'CNN'}",White House weighs border visit during Biden's Mexico trip,"Phil Mattingly, Sam Fossum, Priscilla Alvarez",https://www.cnn.com/2023/01/04/politics/joe-biden-possible-border-trip/index.html
26,2023-01-19T14:00:14Z,"{'id': 'cnn', 'name': 'CNN'}",House Oversight Committee to hold border hearing in early February,"Annie Grayer, Priscilla Alvarez",https://www.cnn.com/2023/01/19/politics/house-oversight-immigration-border-hearing-february/index.html
27,2023-01-31T02:59:55Z,"{'id': 'cnn', 'name': 'CNN'}",Bipartisan group of House leaders moves to intervene in dispute over accessing Rep. Scott Perry's phone,Sara Murray,https://www.cnn.com/2023/01/30/politics/house-intervene-scott-perry-phone-doj/index.html
28,2023-01-31T01:36:29Z,"{'id': 'cnn', 'name': 'CNN'}",Retired Air Force officer set to plead guilty to storing classified information at his Florida home,,https://www.cnn.com/2023/01/30/politics/retired-air-force-officer-classified-information-home/index.html
29,2023-01-20T21:33:36Z,"{'id': 'cnn', 'name': 'CNN'}",Justice Department tells Jim Jordan it won't share information about ongoing investigations,"Zachary Cohen, Sara Murray, Paula Reid",https://www.cnn.com/2023/01/20/politics/justice-department-jim-jordan/index.html
30,2023-01-20T16:12:26Z,"{'id': 'cnn', 'name': 'CNN'}",Three active-duty Marines arrested for participating in Jan. 6 US Capitol riot | CNN Politics,"Hannah Rabinowitz, Haley Britzky",https://www.cnn.com/2023/01/20/politics/marines-us-capitol-riot-arrest/index.html
31,2023-02-01T05:00:47Z,"{'id': 'cnn', 'name': 'CNN'}",Why every American has a stake in Biden's big meeting with McCarthy,Stephen Collinson,https://www.cnn.com/2023/02/01/politics/debt-ceiling-meeting-stakes-biden-mccarthy/index.html
32,2023-01-18T22:45:56Z,"{'id': 'cnn', 'name': 'CNN'}",We've seen this debt limit drama before. Here's how it ends,Zachary B. Wolf,https://www.cnn.com/2023/01/18/politics/us-debt-ceiling-what-matters/index.html
33,2023-01-25T03:48:54Z,"{'id': 'cnn', 'name': 'CNN'}","Clinton, Bush and Obama turned over all classified records, representatives say","Kevin Liptak, Jamie Gangel, Edward-Isaac Dovere",https://www.cnn.com/2023/01/24/politics/bill-clinton-george-bush-barack-obama-classified-records/index.html
34,2023-01-17T19:16:13Z,"{'id': 'cnn', 'name': 'CNN'}",Josh Shapiro sworn-in as Pennsylvania governor and declares victory a rejection of political extremism,Gregory Krieg,https://www.cnn.com/2023/01/17/politics/josh-shapiro-pennsylvania-governor/index.html
35,2023-01-12T18:38:54Z,"{'id': 'cnn', 'name': 'CNN'}","Who is Robert Hur, the special counsel overseeing the Biden document probe",Devan Cole,https://www.cnn.com/2023/01/12/politics/who-is-robert-hur-special-counsel/index.html
36,2023-01-26T03:13:06Z,"{'id': 'cnn', 'name': 'CNN'}",Senate intelligence chair says 'all things will be on the table' to get access to Biden and Trump's classified documents,"Ali Zaslav, Jessica Dean, Nicky Robertson, Morgan Rimmer",https://www.cnn.com/2023/01/25/politics/warner-rubio-senate-intelligence-classified-documents/index.html
37,2023-01-09T05:07:36Z,"{'id': 'cnn', 'name': 'CNN'}","McCarthy is speaker, but the extremists hold the power",Stephen Collinson,https://www.cnn.com/2023/01/09/politics/kevin-mccarthy-house-speaker-test/index.html
38,2023-01-05T05:48:12Z,"{'id': 'cnn', 'name': 'CNN'}",McCarthy takes desperation for speakership to new level,Stephen Collinson,https://www.cnn.com/2023/01/05/politics/mccarthy-desperation-speaker-analysis/index.html
39,2023-01-09T22:41:57Z,"{'id': 'cnn', 'name': 'CNN'}","Classified documents from Biden's time as VP discovered in private office, source says | CNN Politics",Jamie Gangel,https://www.cnn.com/2023/01/09/politics/joe-biden-classified-documents-upenn/index.html
40,2023-01-05T15:27:46Z,"{'id': 'cnn', 'name': 'CNN'}",The clerk presiding during the speaker vote is no stranger to turbulent times in the House,Chandelis Duster,https://www.cnn.com/2023/01/05/politics/house-clerk-cheryl-johnson/index.html
41,2023-01-10T17:00:41Z,"{'id': 'cnn', 'name': 'CNN'}","Exclusive: US intel materials related to Ukraine, Iran and UK found in Biden's private office, source tells CNN","Jamie Gangel, Marshall Cohen",https://www.cnn.com/2023/01/10/politics/biden-classified-documents-iran-ukraine-united-kingdom-beau-funeral/index.html
42,2023-01-09T16:32:00Z,"{'id': 'cnn', 'name': 'CNN'}",Supreme Court declines to hear another longshot 2020 election fraud challenge,Devan Cole,https://www.cnn.com/2023/01/09/politics/election-fraud-case-supreme-court/index.html
43,2023-01-14T01:45:54Z,"{'id': 'cnn', 'name': 'CNN'}",White House Covid-19 Response Team's chief science officer to retire,Katherine Dillinger,https://www.cnn.com/2023/01/13/politics/david-kessler-white-house-covid-retire/index.html
