,date,source,title,author,url
0,2023-01-09T00:15:06Z,"{'id': 'cnn', 'name': 'CNN'}","Republican Sen. Ben Sasse resigns to become University of Florida president, opening seat for appointment by Nebraska governor","Jack Forrest, Eric Levenson",https://www.cnn.com/2023/01/08/politics/ben-sasse-steps-down/index.html
1,2023-01-02T03:03:30Z,"{'id': 'cnn', 'name': 'CNN'}",Highlights from the latest release of January 6 transcripts,"Sara Murray, Annie Grayer",https://www.cnn.com/2023/01/01/politics/january-6-transcript-release-latest/index.html
2,2023-01-17T17:01:28Z,"{'id': 'cnn', 'name': 'CNN'}",House GOP lays groundwork for Mayorkas impeachment as moderates balk,"Melanie Zanona, Manu Raju, Annie Grayer",https://www.cnn.com/2023/01/17/politics/alejandro-mayorkas-house-republicans-impeachment-plans/index.html
3,2023-01-19T21:30:52Z,"{'id': 'cnn', 'name': 'CNN'}",Why it's so important for the US to avoid a shrinking population,Zachary B. Wolf,https://www.cnn.com/2023/01/19/politics/china-population-us-what-matters/index.html
4,2023-01-28T23:39:28Z,"{'id': 'cnn', 'name': 'CNN'}",Paul Pelosi attacker trafficks in conspiracy theories in call to TV station after video release,"Annie Grayer, Andi Babineau",https://www.cnn.com/2023/01/28/politics/david-depape-far-right-conspiracies/index.html
5,2023-01-27T20:24:27Z,"{'id': 'cnn', 'name': 'CNN'}",RNC Chairwoman Ronna McDaniel elected to fourth consecutive term,"Maeve Reston, Jeff Zeleny",https://www.cnn.com/2023/01/27/politics/ronna-mcdaniel-republican-rnc-chair/index.html
6,2023-01-25T01:23:04Z,"{'id': 'cnn', 'name': 'CNN'}",Jill Biden to present Inauguration Day dresses at the Smithsonian,"Donald Judd, Sonnet Swire",https://www.cnn.com/2023/01/24/politics/jill-biden-inauguration-day-ensembles-smithsonian/index.html
7,2023-01-04T05:29:54Z,"{'id': 'cnn', 'name': 'CNN'}","With farcical speaker deadlock, the new Republican House brings chaos back to Washington",Stephen Collinson,https://www.cnn.com/2023/01/04/politics/republican-speaker-chaos-analysis/index.html
8,2023-01-30T19:07:22Z,"{'id': 'cnn', 'name': 'CNN'}",DOJ tells House Judiciary chair it will not hand over most Biden special counsel probe documents until investigation complete,Zachary Cohen,https://www.cnn.com/2023/01/30/politics/doj-response-special-counsel-documents/index.html
9,2023-01-22T08:02:49Z,"{'id': 'cnn', 'name': 'CNN'}","Biden campaigned on abolishing the federal death penalty. But 2 years in, advocates see an 'inconsistent' message",Dakin Andone,https://www.cnn.com/2023/01/22/politics/joe-biden-federal-death-penalty-abolition/index.html
10,2023-01-09T23:33:04Z,"{'id': 'cnn', 'name': 'CNN'}",Don't try to make sense of Biden's border policy,Zachary B. Wolf,https://www.cnn.com/2023/01/09/politics/biden-border-title-42-what-matters/index.html
11,2023-01-29T16:42:36Z,"{'id': 'cnn', 'name': 'CNN'}",House Democrats targeted by McCarthy defend their committee assignments,"Paul LeBlanc, Daniella Diaz",https://www.cnn.com/2023/01/29/politics/adam-schiff-eric-swalwell-ilhan-omar-cnntv/index.html
12,2023-01-28T14:06:11Z,"{'id': 'cnn', 'name': 'CNN'}",Fact check: Biden makes false and misleading claims in economic speech,Daniel Dale,https://www.cnn.com/2023/01/28/politics/fact-check-biden-economic-speech-january-2023/index.html
13,2023-01-14T11:01:07Z,"{'id': 'cnn', 'name': 'CNN'}",Why there are more Republican women in Congress than ever before,"Simone Pathe, Maeve Reston, Janie Boschma, Renée Rigdon, CNN Illustration by Will Mullery",https://www.cnn.com/2023/01/14/politics/republican-women-congress/index.html
14,2023-01-05T22:22:01Z,"{'id': 'cnn', 'name': 'CNN'}",The Biden administration keeps shifting its stance on a controversial policy,Catherine E. Shoichet,https://www.cnn.com/2023/01/05/politics/biden-title-42-analysis-cec/index.html
