,date,source,title,author,url
0,2023-01-21T12:00:09Z,"{'id': 'fox-news', 'name': 'Fox News'}","2024 Watch: Trump, DeSantis, Pence, and more – the brewing GOP nomination battle for evangelical voters","Paul Steinhauser, Rich Edson",https://www.foxnews.com/politics/2024-watch-trump-desantis-pence-more-brewing-gop-nomination-battle-evangelical-voters
1,2023-01-25T07:00:19Z,"{'id': 'fox-news', 'name': 'Fox News'}","Biden, Trump, Pence under scrutiny for classified records, potentially complicating 2024 White House bids",Brooke Singman,https://www.foxnews.com/politics/biden-trump-pence-under-scrutiny-classified-records-potentially-complicating-2024-white-house-bids
2,2023-01-26T20:18:39Z,"{'id': 'fox-news', 'name': 'Fox News'}",Democratic House leader Jeffries says Trump running 'low-energy' campaign for president,Chris Pandolfo,https://www.foxnews.com/politics/democratic-house-leader-jeffries-says-trump-running-low-energy-campaign-president
3,2023-01-26T19:50:25Z,"{'id': 'fox-news', 'name': 'Fox News'}",Progressive group attacks Rep. Adam Schiff for failed record on Trump following Senate campaign announcement,"Sophia Slacik, Brandon Gillespie",https://www.foxnews.com/politics/progressive-group-attacks-rep-adam-schiff-failed-record-trump-senate-campaign-announcement
4,2023-01-26T13:23:08Z,"{'id': 'fox-news', 'name': 'Fox News'}",Liberals lose it after ACLU defends Trump being reinstated to Facebook and Instagram: ‘Absolute bollocks’,Jeffrey Clark,https://www.foxnews.com/media/liberals-lose-it-after-aclu-defends-trump-reinstated-facebook-instagram-absolute-bollocks
5,2023-01-29T05:32:39Z,"{'id': 'fox-news', 'name': 'Fox News'}","Arizona Republicans elect former Trump official Jeff DeWit to become next party chair, will replace Kelli Ward",Lawrence Richard,https://www.foxnews.com/politics/arizona-republicans-elect-former-trump-official-jeff-dewit-next-party-chair-replace-kelli-ward
6,2023-01-29T07:00:06Z,"{'id': 'fox-news', 'name': 'Fox News'}","Trump joins Biden, Obama in condemning 'horrible' beating of Tyre Nichols: 'Never should have happened'",Lawrence Richard,https://www.foxnews.com/politics/trump-biden-obama-condemning-horrible-beating-tyre-nichols-happened
7,2023-01-31T22:57:03Z,"{'id': 'fox-news', 'name': 'Fox News'}","Trump seen in 2022 video decrying 'witch hunt,' pleading the Fifth in deposition before New York AG","Danielle Wallace, Marta Dhanis",https://www.foxnews.com/politics/trump-seen-2022-video-decrying-witch-hunt-pleading-fifth-deposition-new-york-ag
8,2023-01-12T00:40:58Z,"{'id': 'fox-news', 'name': 'Fox News'}",Ben Domenech compares Biden and Trump classified docs situation: 'Perception of playing politics',,https://www.foxnews.com/video/6318532434112
9,2023-01-14T00:31:55Z,"{'id': 'fox-news', 'name': 'Fox News'}","Russian trolls had little influence on Twitter during Trump race, study shows",,https://www.foxnews.com/video/6318641589112
