,date,source,title,author,url
0,2023-01-31T13:24:12Z,"{'id': 'cnn', 'name': 'CNN'}",Trump sues Bob Woodward for releasing audio of their interviews,David Goldman,https://www.cnn.com/2023/01/31/media/donald-trump-sues-bob-woodward/index.html
1,2023-01-17T07:22:31Z,"{'id': 'cnn', 'name': 'CNN'}",Analysis: White House shifts into damage control mode as document scandal worsens,Stephen Collinson,https://www.cnn.com/2023/01/17/politics/white-house-damage-control-biden-documents/index.html
2,2023-02-01T12:52:46Z,"{'id': 'cnn', 'name': 'CNN'}",Cohen says he handed over phones to Manhattan DA,Karl de Vries,https://www.cnn.com/2023/02/01/politics/michael-cohen-manhattan-district-attorney/index.html
3,2023-01-05T16:19:41Z,"{'id': 'cnn', 'name': 'CNN'}",Opinion: How to stop Trump from becoming the GOP nominee again,Paul E. Peterson,https://www.cnn.com/2023/01/05/opinions/stopping-trump-2024-proportional-representation-peterson/index.html
4,2023-01-20T22:10:59Z,"{'id': 'cnn', 'name': 'CNN'}",Pompeo alleges Haley plotted with Kushner and Ivanka Trump to try to become vice president,"Jake Tapper, Kate Sullivan",https://www.cnn.com/2023/01/20/politics/mike-pompeo-nikki-haley-trump-vp/index.html
5,2023-01-05T19:53:57Z,"{'id': 'cnn', 'name': 'CNN'}",Pennsylvania Gov.-elect Shapiro taps Republican targeted by Trump for top state elections job,Gregory Krieg,https://www.cnn.com/2023/01/05/politics/al-schmidt-pennsylvania-shapiro-secretary-state/index.html
6,2023-01-09T00:38:50Z,"{'id': 'cnn', 'name': 'CNN'}","Opinion: From A to Z, why Hakeem Jeffries' alphabet speech was so memorable",Dean Obeidallah,https://www.cnn.com/2023/01/08/opinions/hakeem-jeffries-speech-kevin-mccarthy-obeidallah/index.html
7,2023-01-19T19:15:17Z,"{'id': 'cnn', 'name': 'CNN'}",Opinion: The rich got richer due to Covid and war. Now they should pay their fair share,Joseph E. Stiglitz,https://www.cnn.com/2023/01/19/opinions/windfall-profits-tax-stiglitz/index.html
8,2023-01-09T18:02:43Z,"{'id': 'cnn', 'name': 'CNN'}",Opinion: Trump's immigration policy was a fiasco. Why hasn't Biden fixed it yet?,Alice Driver,https://www.cnn.com/2023/01/09/opinions/biden-immigration-policy-driver/index.html
9,2023-01-03T23:06:16Z,"{'id': 'cnn', 'name': 'CNN'}",Opinion: Why Kevin McCarthy's dream is in big trouble,Jill Filipovic,https://www.cnn.com/2023/01/03/opinions/gop-battle-house-speaker-kevin-mccarthy-filipovic/index.html
10,2023-01-06T15:46:27Z,"{'id': 'cnn', 'name': 'CNN'}",Biden to honor January 6 democracy defenders in capstone to a split-screen week,"Phil Mattingly, Betsy Klein",https://www.cnn.com/2023/01/06/politics/joe-biden-january-6-anniversary/index.html
11,2023-01-03T21:30:42Z,"{'id': 'cnn', 'name': 'CNN'}",Jim Jordan nominated for speaker by conservative hardliners,Sonnet Swire,https://www.cnn.com/2023/01/03/politics/jim-jordan-nominated-house-speaker/index.html
12,2023-01-12T10:01:28Z,"{'id': 'cnn', 'name': 'CNN'}",First weeks of Proud Boys sedition trial marked by courtroom drama and fighting,Hannah Rabinowitz,https://www.cnn.com/2023/01/12/politics/proud-boys-trial-chaos/index.html
13,2023-01-10T02:31:22Z,"{'id': 'cnn', 'name': 'CNN'}",Analysis: How election lies sparked the violent attack on Brazil's government,Oliver Darcy,https://www.cnn.com/2023/01/09/media/brazil-government-reliable-sources/index.html
14,2023-01-11T21:11:54Z,"{'id': 'cnn', 'name': 'CNN'}",White House refuses to answer key questions about discovery of classified documents in Biden's private office,"Maegan Vazquez, Kevin Liptak",https://www.cnn.com/2023/01/11/politics/biden-classified-documents/index.html
15,2023-01-13T11:00:26Z,"{'id': 'cnn', 'name': 'CNN'}",Why Kevin McCarthy won't call on George Santos to resign,Harry Enten,https://www.cnn.com/2023/01/13/politics/house-republicans-mccarthy-george-santos-resign/index.html
16,2023-01-15T13:39:18Z,"{'id': 'cnn', 'name': 'CNN'}",Opinion: New sheriffs take over in Washington,Richard Galant,https://www.cnn.com/2023/01/15/opinions/mccarthy-gop-first-week-opinion-column-galant/index.html
17,2023-01-18T02:42:18Z,"{'id': 'cnn', 'name': 'CNN'}",Capitol Police chief says threats against members of Congress 'still too high' despite drop in case numbers,Jack Forrest,https://www.cnn.com/2023/01/17/politics/congress-threats-decline-capitol-police/index.html
18,2023-01-12T22:40:02Z,"{'id': 'cnn', 'name': 'CNN'}",Why the House is incapable of dealing with George Santos,Julian Zelizer,https://www.cnn.com/2023/01/12/opinions/george-santos-house-mechanisms-zelizer/index.html
19,2023-01-05T15:51:34Z,"{'id': 'cnn', 'name': 'CNN'}",Analysis: How McCarthy's unprecedented leadership battle is a reflection of Fox News and right-wing media,Oliver Darcy,https://www.cnn.com/2023/01/05/tech/fox-news-mccarthy/index.html
20,2023-01-04T23:51:41Z,"{'id': 'cnn', 'name': 'CNN'}",Opinion: Kevin McCarthy is getting schooled in history,Thomas Balcerski,https://www.cnn.com/2023/01/04/opinions/history-lesson-house-speaker-mccarthy-balcerski/index.html
