,date,source,title,author,url
0,2023-01-11T22:41:01Z,"{'id': 'fox-news', 'name': 'Fox News'}",Pressure builds on Garland to appoint special counsel after second batch of classified Biden documents found,Thomas Catenacci,https://www.foxnews.com/politics/pressure-builds-garland-appoint-special-counsel-second-batch-classified-biden-documents-found
1,2023-01-27T01:56:51Z,"{'id': 'fox-news', 'name': 'Fox News'}",Rep. Matt Gaetz introduces 'PENCIL' resolution barring Adam Schiff from accessing classified information,Matteo Cina,https://www.foxnews.com/politics/rep-matt-gaetz-introduces-pencil-resolution-barring-adam-schiff-from-accessing-classified-information
2,2023-01-12T11:00:11Z,"{'id': 'fox-news', 'name': 'Fox News'}",Brian Kemp’s GOP star rising as Georgia’s governor inaugurated for second term steering key battleground,Paul Steinhauser,https://www.foxnews.com/politics/brian-kemps-star-rising-georgias-governor-inaugurated-second-term-steering-key-battleground
3,2023-01-06T20:20:05Z,"{'id': 'fox-news', 'name': 'Fox News'}","Democrats, immigrant advocates raise red flags over Biden border plan: 'Deeply disappointed'",Adam Shaw,https://www.foxnews.com/politics/democrats-immigrant-advocates-raise-red-flags-biden-border-plan-deeply-disappointed
4,2023-01-30T22:30:48Z,"{'id': 'fox-news', 'name': 'Fox News'}",CNN labels Adam Schiff a Republican during rare clash on Russia collusion: 'That turned out not to be true',Lindsay Kornick,https://www.foxnews.com/media/cnn-labels-adam-schiff-republican-rare-clash-russia-collusion-turned-true
5,2023-01-15T11:30:47Z,"{'id': 'fox-news', 'name': 'Fox News'}","Psaki calls Trump's handling of docs 'horrifying,' still defends Biden",Joshua Comins,https://www.foxnews.com/media/psaki-calls-trumps-handling-docs-horrifying-still-defends-biden
6,2023-01-26T04:15:06Z,"{'id': 'fox-news', 'name': 'Fox News'}",SEAN HANNITY: House Speaker Kevin McCarthy removed these 'idiots' for good reason,Fox News Staff,https://www.foxnews.com/media/sean-hannity-house-speaker-kevin-mccarthy-removed-idiots-good-reason
7,2023-01-07T23:00:40Z,"{'id': 'fox-news', 'name': 'Fox News'}",Extra: Are We Repeating Past COVID Mistakes?,William Sanchez,https://radio.foxnews.com/2023/01/07/extra-are-we-repeating-old-covid-mistakes/
8,2023-01-12T15:41:35Z,"{'id': 'fox-news', 'name': 'Fox News'}",Classified Joe,Kylie Michael,https://radio.foxnews.com/2023/01/12/classified-joe/
9,2023-01-24T21:02:30Z,"{'id': 'fox-news', 'name': 'Fox News'}",Rep. Russell Fry: There’s A Lot Of Smoke Surrounding Biden’s Handling Of Classified Documents,Michael Addvensky,https://radio.foxnews.com/2023/01/24/russell-fry-theres-a-lot-of-smoke-surrounding-bidens-handling-of-classified-documents/
10,2023-01-21T10:00:28Z,"{'id': 'fox-news', 'name': 'Fox News'}",From Washington: The National Archives Role Into Presidential Oversight,Kate Pearce,https://radio.foxnews.com/2023/01/21/from-washington-the-national-archives-role-into-presidential-oversight/
11,2023-01-31T23:12:36Z,"{'id': 'fox-news', 'name': 'Fox News'}",Howard Kurtz On Biden White House Staying Quiet Over Classified Doc Scandal: “Infuriating And Exasperating”,Wyatt Dobrovich-Fago,https://radio.foxnews.com/2023/01/31/howard-kurtz-on-biden-white-house-staying-quiet-over-classified-doc-scandal-infuriating-and-exasperating/
12,2023-01-14T10:00:38Z,"{'id': 'fox-news', 'name': 'Fox News'}",From Washington: Special Counsel Named To President Biden Probe,Dylan Hunt,https://radio.foxnews.com/2023/01/14/from-washington-special-counsel-named-to-president-biden-probe/
13,2023-01-13T10:00:33Z,"{'id': 'fox-news', 'name': 'Fox News'}",The President’s Political Problems Pile Up,William Sanchez,https://radio.foxnews.com/2023/01/13/the-fox-news-rundown-1-13-2023/
14,2023-01-29T23:00:14Z,"{'id': 'fox-news', 'name': 'Fox News'}",Extra: Trey Gowdy On How The Media Is Being Unfair About The ‘Doc Scandals’,Matthew Pascarella,https://radio.foxnews.com/2023/01/29/extra-trey-gowdy-on-how-the-media-is-being-unfair-about-the-doc-scandals/
15,2023-01-07T10:00:43Z,"{'id': 'fox-news', 'name': 'Fox News'}",From Washington: Obstacles Ahead For Senate Republicans,Dylan Hunt,https://radio.foxnews.com/2023/01/07/obstacles-ahead-for-senate-republicans/
16,2023-01-31T20:50:40Z,"{'id': 'fox-news', 'name': 'Fox News'}",Rep. Anna Paulina Luna: We Can’t Keep Sending Blank Checks To Ukraine,Michael Addvensky,https://radio.foxnews.com/2023/01/31/rep-anna-paulina-luna-we-cant-keep-sending-blank-checks-to-ukraine/
17,2023-01-20T12:00:40Z,"{'id': 'fox-news', 'name': 'Fox News'}","DeSantis lacks 'charisma' to be president, liberal media insists: 'They like him because they don’t know him'",Lindsay Kornick,https://www.foxnews.com/media/desantis-lacks-charisma-president-liberal-media-insists-dont-know
18,2023-01-24T14:58:23Z,"{'id': 'fox-news', 'name': 'Fox News'}",Trump-Russia Investigator Indicted For…,Kylie Michael,https://radio.foxnews.com/2023/01/24/trump-russia-investigator-indicted-for/
19,2023-01-17T03:16:37Z,"{'id': 'fox-news', 'name': 'Fox News'}",TUCKER CARLSON: This is bigger than just a story about classified documents,Tucker Carlson,https://www.foxnews.com/opinion/tucker-carlson-bigger-than-just-story-classified-documents
20,2023-01-10T16:59:24Z,"{'id': 'fox-news', 'name': 'Fox News'}",Intel head Turner requests national security 'damage assessment' after classified docs found at Biden office,Kelly Laco,https://www.foxnews.com/politics/intel-chair-turner-requests-national-security-damage-assessment-classified-docs-found-biden-office
21,2023-01-09T16:18:23Z,"{'id': 'fox-news', 'name': 'Fox News'}","Vulnerable Democrat governor faces crowded field of challengers, including two well known Republicans",Brandon Gillespie,https://www.foxnews.com/politics/vulnerable-democrat-governor-crowded-field-challengers-two-well-known-republicans
22,2023-01-14T21:10:11Z,"{'id': 'fox-news', 'name': 'Fox News'}",Former Mueller prosecutor: White House 'digging a hole deeper' by failing to answer classified doc questions,Andrew Miller,https://www.foxnews.com/politics/former-mueller-prosecutor-white-house-digging-hole-deeper-failing-answer-classified-doc-questions
23,2023-01-12T19:31:05Z,"{'id': 'fox-news', 'name': 'Fox News'}","Robert K. Hur, Biden special counsel, oversaw indictments of top Baltimore officials",Jessica Chasmar,https://www.foxnews.com/politics/robert-k-hur-biden-special-counsel-oversaw-indictments-top-baltimore-officials
24,2023-01-25T15:38:49Z,"{'id': 'fox-news', 'name': 'Fox News'}",Voters in key swing state give Biden big thumbs down on classified documents controversy: poll,Paul Steinhauser,https://www.foxnews.com/politics/voters-key-swing-state-give-biden-big-thumbs-down-classified-documents-controversy-poll
25,2023-01-25T13:21:27Z,"{'id': 'fox-news', 'name': 'Fox News'}",National Archives blows off Republican oversight request for info on Biden classified documents,Anders Hagstrom,https://www.foxnews.com/politics/national-archives-blows-republican-oversight-request-info-biden-classified-documents
26,2023-01-26T11:11:45Z,"{'id': 'fox-news', 'name': 'Fox News'}",Schiff gets roasted after posting TikTok video about losing committee spot: ‘China is laughing at us’,Jeffrey Clark,https://www.foxnews.com/media/schiff-gets-roasted-posting-tiktok-video-losing-committee-spot-china-laughing-at-us
27,2023-01-05T20:51:43Z,"{'id': 'fox-news', 'name': 'Fox News'}",House speaker vote: Here are the 21 Republicans who aren’t voting for McCarthy,Houston Keene,https://www.foxnews.com/politics/house-speaker-vote-21-republicans-arent-voting-mccarthy
28,2023-01-14T23:53:23Z,"{'id': 'fox-news', 'name': 'Fox News'}",Conservatives blast Biden over latest batch of classified information found: 'FBI raid happens when?',Andrew Miller,https://www.foxnews.com/politics/conservatives-blast-biden-latest-batch-classified-information-found-fbi-raid-happens-when
29,2023-01-08T19:00:10Z,"{'id': 'fox-news', 'name': 'Fox News'}",Biden administration's messaging on the border has been 'really bad': CNN panelist,Hanna Panreck,https://www.foxnews.com/media/biden-administrations-messaging-on-the-border-has-been-really-bad-cnn-panelist
30,2023-01-10T06:27:51Z,"{'id': 'fox-news', 'name': 'Fox News'}",President Biden ignores question on why classified documents were found at his think tank,Landon Mion,https://www.foxnews.com/politics/president-biden-ignores-question-why-classified-documents-found-think-tank
31,2023-01-11T03:30:16Z,"{'id': 'fox-news', 'name': 'Fox News'}","After Biden scandal, former CIA attorney worries about ‘over-criminalizing’ the mishandling of classified docs",Alexander Hall,https://www.foxnews.com/media/biden-scandal-former-cia-attorney-worries-criminalizing-mishandling-classified-docs
32,2023-01-22T16:50:35Z,"{'id': 'fox-news', 'name': 'Fox News'}","GOP, Dems agree that Biden classified documents scandal must be investigated",Ronn Blitzer,https://www.foxnews.com/politics/gop-dems-agree-biden-classified-documents-scandal-investigated
33,2023-01-11T00:17:34Z,"{'id': 'fox-news', 'name': 'Fox News'}",Biden 'surprised' to learn of classified docs at Penn think tank: 'I don't know' what's in them,Paul Best,https://www.foxnews.com/politics/biden-surprised-learn-classified-docs-penn-think-tank
34,2023-01-10T00:32:16Z,"{'id': 'fox-news', 'name': 'Fox News'}",House Oversight chairman says discovered Biden classified docs displays 'two-tier' justice system,Brianna Herlihy,https://www.foxnews.com/politics/house-oversight-chairman-says-discovered-biden-classified-docs-displays-two-tier-justice-system
35,2023-01-06T16:56:02Z,"{'id': 'fox-news', 'name': 'Fox News'}",Mayorkas defends Biden not visiting border: 'The President knows the border very well',Jeffrey Clark,https://www.foxnews.com/media/mayorkas-defends-biden-not-visiting-border-president-knows-border-very-well
36,2023-01-08T00:41:39Z,"{'id': 'fox-news', 'name': 'Fox News'}",Kristi Noem demands answers after US Government leaks social security numbers of her and family,Sarah Rumpf,https://www.foxnews.com/politics/kristi-noem-demands-answers-after-us-government-leaks-social-security-numbers-family
37,2023-01-13T14:58:37Z,"{'id': 'fox-news', 'name': 'Fox News'}","Don Lemon, Chuck Schumer clash over Biden classified documents story: 'For God's sake'",Nikolas Lanum,https://www.foxnews.com/media/don-lemon-chuck-schumer-clash-bidens-mishandling-documents-story-gods-sake
