,title,url,source,news_desk,type_of_material,first_paragraph,date,word_count,day_of_week
105,"In Inquiry Into Trump Organization,  Key Question Is Hyperbole vs. Fraud",https://www.nytimes.com/2022/01/19/nyregion/trump-investigation-letitia-james.html,New York Times,Metro,News,"In 2012, Donald J. Trump began to claim that his penthouse apartment in Trump Tower spanned 30,000 square feet, a home so luxurious and vast that it was worth $200 million. By 2015, based on that same square footage, the value had jumped to an astronomical $327 million.",2022-01-20 00:22:01+00:00,1476.0,Thursday
106,Timeline of Evidence Leading to Attack on the Capitol,https://www.nytimes.com/interactive/2022/01/19/us/oath-keepers-capitol-riot.html,New York Times,Graphics,Interactive Feature,Here’s a look at the evidence prosecutors culled to charge 11 Oath Keepers and affiliates with sedition— the most serious charge yet in the Jan. 6 invegstigation.,2022-01-20 02:32:14+00:00,0.0,Thursday
107,,https://www.nytimes.com/2022/01/20/arts/television/jimmy-kimmel-trump-fraud-allegations.html,New York Times,Culture,News,"Welcome to Best of Late Night, a rundown of the previous night’s highlights that lets you sleep — and lets us get paid to watch comedy. Here are the 50 best movies on Netflix right now.",2022-01-20 07:22:55+00:00,700.0,Thursday
108,,https://www.nytimes.com/2022/01/20/nyregion/misstatements-and-omissions.html,New York Times,Metro,briefing,"Good morning. It’s Thursday. We’ll look at the New York attorney general’s filing on her investigation of Donald Trump and the Trump Organization. We’ll also look at how $1,000 a month in guaranteed income is making a difference for mothers with young children.",2022-01-20 07:57:18+00:00,1535.0,Thursday
109,14 Independent Voters Share Their Fears,https://www.nytimes.com/2022/01/20/opinion/biden-independent-voters.html,New York Times,OpEd,Op-Ed,"How do independent voters feel about President Biden and America after his first year in office? Let’s put it this way: His weak approval ratings might go up if he pulled a Trump and just declared that America was moving on from the pandemic and he was going all in against inflation and high gas prices. Never mind about voting rights or avoiding another Jan. 6. It’s the economy, Joe.",2022-01-20 10:00:12+00:00,3739.0,Thursday
110,Trump Deal Was Panned by Big Investors,https://www.nytimes.com/2022/01/20/business/trump-media-investors.html,New York Times,Business,News,"Last month, Donald J. Trump’s fledgling social media company announced that it had lined up $1 billion from 36 investors. The size of the deal, the former president said in the announcement, signaled that his start-up’s plan to end the “tyranny” of Big Tech had significant support.",2022-01-20 10:00:25+00:00,1304.0,Thursday
111,Jan. 6 Panel Contacts  Ivanka Trump in Effort To Trace Father’s Actions,https://www.nytimes.com/2022/01/20/us/politics/jan-6-committee-ivanka-trump.html,New York Times,Washington,News,"WASHINGTON — The House committee investigating the Jan. 6 riot on Thursday requested cooperation from Ivanka Trump, as it revealed pieces of what it has learned about a scramble inside the White House that day to get President Donald J. Trump to denounce and call off the mob that was laying siege to the Capitol.",2022-01-20 17:15:30+00:00,1268.0,Thursday
112,D.A. in Atlanta Raising Stakes Against Trump,https://www.nytimes.com/2022/01/20/us/politics/georgia-trump-election-investigation.html,New York Times,Politics,News,A district attorney in Atlanta on Thursday asked a judge to convene a special grand jury to help a criminal investigation into former President Donald J. Trump’s attempts to overturn the 2020 election results in Georgia.,2022-01-20 18:11:39+00:00,1086.0,Thursday
113,,https://www.nytimes.com/2022/01/20/opinion/letters/voting-rights-filibuster.html,New York Times,Letters,Letter,To the Editor:,2022-01-20 18:30:28+00:00,1178.0,Thursday
114,Hannity Urged Trump to Stop Talk of Voter Fraud,https://www.nytimes.com/2022/01/20/business/media/sean-hannity-donald-trump-january-6.html,New York Times,Business,News,"The Fox News host Sean Hannity had some blunt advice for President Donald J. Trump on Jan. 7, 2021: “No more stolen election talk.”",2022-01-20 22:47:06+00:00,466.0,Thursday
115,What I Regret From My Time at Planned Parenthood,https://www.nytimes.com/2022/01/21/opinion/abortion-roe-anniversary.html,New York Times,OpEd,Op-Ed,"This could well be the last anniversary of Roe. Ever since the Supreme Court established a constitutional right to abortion through that decision, 49 years ago on Saturday, Republicans have been chipping away at reproductive rights. Now, the court is poised to overturn the decision once and for all — fulfilling a longstanding dream not just of fringe elements of the Republican Party, but also of its leadership. I know, because I was one of the leading faces of the movement trying to stop them.",2022-01-21 10:00:13+00:00,994.0,Friday
116,The Mental Health Toll of Trump-Era Politics,https://www.nytimes.com/2022/01/21/opinion/trump-politics-mental-health.html,New York Times,OpEd,Op-Ed,"In the last few years the hideous state of our politics has often kept me up at night, but until recently I thought I was an outlier. Even when I’ve written about political despair as a problem for Democrats, I assumed it was something that applied to activists and base voters, the sort of people who go through their days silently cursing Joe Manchin. But a striking new study from Kevin B. Smith, chair of the political science department at the University of Nebraska, Lincoln, suggests the universe of people who find our politics a torment might be much larger than I’d realized.",2022-01-21 10:00:15+00:00,950.0,Friday
