,date,source,title,author,url
0,2023-01-04T20:03:07Z,"{'id': 'fox-news', 'name': 'Fox News'}",Conservative civil war rages on Twitter as McCarthy fails to win Speaker vote,Jeffrey Clark,https://www.foxnews.com/media/conservative-civil-war-twitter-mccarthy-fails-win-speaker-vote-no-one-is-entitled-to-be-speaker
1,2023-01-12T23:00:45Z,"{'id': 'fox-news', 'name': 'Fox News'}","Chelsea Handler declares she's immune to cancel culture because she's not ‘racist,’ ‘sexist’ ‘idiot’",Scott Whitlock,https://www.foxnews.com/media/chelsea-handler-declares-immune-cancel-culture-racist-sexist-idiot
2,2023-01-08T15:56:55Z,"{'id': 'fox-news', 'name': 'Fox News'}","Jordan defends speaker vote, says this is how democracy is supposed to be",Ronn Blitzer,https://www.foxnews.com/politics/jordan-defends-speaker-vote-says-how-democracy-supposed
3,2023-01-05T00:00:39Z,"{'id': 'fox-news', 'name': 'Fox News'}","Crenshaw Unloads On GOP Holdouts, Acting Like ‘Terrorists & Children’",Christine Bragg,https://radio.foxnews.com/2023/01/04/crenshaw-unloads-on-gop-holdouts-acting-like-terrorists-children/
4,2023-01-19T17:48:27Z,"{'id': 'fox-news', 'name': 'Fox News'}",DeSantis takes aim at Biden over handling of documents,Julia Musto | Fox News,https://www.foxnews.com/politics/desantis-hits-biden-over-handling-of-documents
5,2023-01-10T22:00:10Z,"{'id': 'fox-news', 'name': 'Fox News'}",Reporter threatens legal action against Adam Schiff after Twitter Files bombshell,Kristine Parks | Fox News,https://www.foxnews.com/media/reporter-threatens-legal-action-adam-schiff-twitter-files-bombshell
6,2023-01-14T21:35:10Z,"{'id': 'fox-news', 'name': 'Fox News'}",It is raining special counsels in U.S. politics.,,https://www.foxnews.com/video/6318692285112
7,2023-01-03T20:22:15Z,"{'id': 'fox-news', 'name': 'Fox News'}",Fox News Politics: Republicans' first day in the House majority isn't going well for Kevin McCarthy,Fox News Staff,https://www.foxnews.com/politics/fox-news-politics-republicans-first-day-house-majority-isnt-going-well-kevin-mccarthy
8,2023-01-05T07:00:14Z,"{'id': 'fox-news', 'name': 'Fox News'}",The speaker election drama: Who won and who lost,Patrick Hauf,https://www.foxnews.com/politics/winners-and-losers-of-the-speakership-elections
9,2023-01-23T18:00:05Z,"{'id': 'fox-news', 'name': 'Fox News'}",Retired top FBI counterintelligence agent who led Trump-Russia probe arrested for own ties to Russian oligarch,Danielle Wallace | Fox News,https://www.foxnews.com/politics/retired-top-fbi-counterintelligence-agent-led-trump-russia-probe-arrested-own-ties-russian-oligarch
10,2023-01-12T21:50:57Z,"{'id': 'fox-news', 'name': 'Fox News'}",Biden's 'Corvette' excuse won't cut it. Special counsel has a lot to do,Jonathan Turley | Fox News,https://www.foxnews.com/opinion/bidens-corvette-excuse-wont-cut-it-special-counsel
11,2023-01-04T20:49:37Z,"{'id': 'fox-news', 'name': 'Fox News'}","Democrats continue handing votes to Jeffries, who has long history of denying elections",Kyle Morris,https://www.foxnews.com/politics/democrats-continue-handing-votes-jeffries-long-history-denying-elections
12,2023-01-31T16:21:46Z,"{'id': 'fox-news', 'name': 'Fox News'}","'Fox News Sunday' on January 29, 2022",Fox News Staff,https://www.foxnews.com/transcript/fox-news-sunday-january-29-2022
13,2023-01-20T02:46:19Z,"{'id': 'fox-news', 'name': 'Fox News'}","Experts come out of the woodwork to say mishandling classified docs 'happens all the time,' 'just accidents'",Alexander Hall,https://www.foxnews.com/media/experts-come-woodwork-say-mishandling-classified-docs-happens-time-accidents
14,2023-01-10T08:09:41Z,"{'id': 'fox-news', 'name': 'Fox News'}","Why Marjorie Taylor Greene, who helped McCarthy become speaker, tried the inside game",Howard Kurtz,https://www.foxnews.com/shows/media-buzz/marjorie-taylor-greene-helped-mccarthy-become-speaker-tried-inside-game
15,2023-01-08T11:00:52Z,"{'id': 'fox-news', 'name': 'Fox News'}",NH GOP Gov. Sununu says he’s having ‘conversations’ about 2024; Gov. Noem won't rule out a presidential bid,Paul Steinhauser,https://www.foxnews.com/politics/new-hampshire-gop-gov-sununu-hes-having-conversations-2024-gov-noem-wont-rule-out-presidential-bid
16,2023-01-12T05:02:15Z,"{'id': 'fox-news', 'name': 'Fox News'}","On this day in history, Jan. 12, 1951, radio legend Rush Limbaugh 'born to be a broadcaster' in Missouri",Kerry Byrne,https://www.foxnews.com/lifestyle/this-day-history-jan-12-1951-radio-legend-rush-limbaugh-born-broadcaster-missouri
17,2023-01-08T15:00:32Z,"{'id': 'fox-news', 'name': 'Fox News'}",Dealmaker or hostage? What America can expect from Speaker Kevin McCarthy,"Kyle Morris, Andrew Murray",https://www.foxnews.com/politics/dealmaker-hostage-america-expect-speakership-kevin-mccarthy
18,2023-01-14T01:00:01Z,"{'id': 'fox-news', 'name': 'Fox News'}",MSNBC edits column after Turning Point USA sends cease-and-desist letter blasting 'defamatory' comment,Joseph Wulfsohn,https://www.foxnews.com/media/msnbc-edits-column-turning-point-usa-sends-cease-desist-letter-blasting-defamatory-comment
19,2023-01-13T22:27:33Z,"{'id': 'fox-news', 'name': 'Fox News'}",13 Friday the 13th facts: What to know about the 'unlucky' day,Cortney Moore,https://www.foxnews.com/lifestyle/13-friday-the-13th-facts-what-know-unlucky-day
20,2023-01-24T09:00:38Z,"{'id': 'fox-news', 'name': 'Fox News'}",Biden's documents scandal is now DC's hottest guessing game: Who's sabotaging the president?,Liz Peek,https://www.foxnews.com/opinion/bidens-documents-scandal-now-dcs-hottest-guessing-game-whos-sabotaging-president
21,2023-01-26T13:00:06Z,"{'id': 'fox-news', 'name': 'Fox News'}",China could shut down our military in a minute if we don't fix the looming rare earths supply crisis,Fox News,https://www.foxnews.com/opinion/china-shut-down-military-minute-fix-looming-rare-earths-supply-crisis
22,2023-01-11T07:00:25Z,"{'id': 'fox-news', 'name': 'Fox News'}",Several top White House officials worked for Biden at his think tank where classified docs discovered,"Thomas Catenacci, Cameron Cawthorne",https://www.foxnews.com/politics/several-top-white-house-officials-worked-biden-think-tank-classified-docs-discovered
23,2023-01-26T10:00:16Z,"{'id': 'fox-news', 'name': 'Fox News'}",Biden's FCC nominee sits on board of group that opposes anti-sex trafficking efforts,Thomas Catenacci,https://www.foxnews.com/politics/bidens-fcc-nominee-sits-board-group-opposes-anti-sex-trafficking-efforts
24,2023-01-13T01:00:09Z,"{'id': 'fox-news', 'name': 'Fox News'}",Shannon Bream on Trump and Biden classified documents controversies: 'Definitely one for the history books',,https://www.foxnews.com/video/6318581960112
25,2023-01-04T11:57:25Z,"{'id': 'fox-news', 'name': 'Fox News'}","GOP rebels throw McCarthy's speakership into question, Buttigieg's ritzy ride and more top headlines",Fox News,https://www.foxnews.com/us/gop-rebels-throw-kevin-mccarthy-speakership-into-question
26,2023-01-20T08:30:53Z,"{'id': 'fox-news', 'name': 'Fox News'}",Biden slammed for saying he has 'no regrets' about classified documents: 'White House keeps stonewalling',Joe Silverstein,https://www.foxnews.com/media/biden-slammed-saying-no-regrets-classified-documents-white-house-keeps-stonewalling
