title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
Opinion: Don't expect Biden to confront Netanyahu anytime soon,2023-01-04,35.0,0.02173239436619719,0.20381690140845074,0.027971830985915495,0.01700985915492958,0.096,0.788,0.116,0.9865
Israel's rightward shift leaves its new Arab allies in an awkward spot,2023-01-04,36.0,0.0025915492957746477,0.08074647887323945,0.0011690140845070423,-0.004935211267605634,0.074,0.825,0.101,0.9936
Israel's far-right Ben Gvir visits flashpoint Jerusalem holy site as Palestinians slam 'provocation',2023-01-03,37.0,0.009750000000000002,0.11965909090909092,0.006931818181818183,-0.018454545454545453,0.101,0.82,0.079,-0.9888
Four things to watch out for in the Middle East in 2023,2023-01-02,38.0,0.0009538461538461539,0.057923076923076924,0.0026461538461538463,0.0016984615384615376,0.106,0.805,0.09,-0.9881
Benjamin Netanyahu sworn in as leader of Israel's likely most right-wing government ever,2022-12-29,39.0,0.012121212121212121,0.3683636363636364,0.04375757575757576,0.07987878787878788,0.049,0.834,0.117,0.9956
Jordan king warns of 'red lines' in Jerusalem as Netanyahu returns to office,2022-12-28,40.0,0.0009811320754716981,0.01788679245283019,0.0,-0.0038169811320754718,0.071,0.835,0.094,0.9795
"December 22, 2022 Russia-Ukraine news",2022-12-21,41.0,0.0015403726708074536,0.018195652173913043,0.0019968944099378887,0.0004611801242236024,0.084,0.806,0.11,0.9997
Netanyahu informs Israeli president he has formed government,2022-12-21,42.0,0.005307692307692308,0.32823076923076927,0.05115384615384615,0.12996153846153846,0.011,0.866,0.123,0.99
"Opinion: What 2022's elections taught me about humanity, politics and 'magic sauce'",2022-12-20,43.0,0.0,0.020833333333333332,0.0,0.0,0.057,0.845,0.098,0.994
Will Erdogan finally deliver on his vow to invade northern Syria?,2022-11-25,44.0,0.0,0.01871232876712329,0.008684931506849314,0.02501780821917808,0.086,0.814,0.1,0.9601
Israeli President invites Netanyahu to form government,2022-11-13,45.0,0.03388,0.44315999999999994,0.08296,0.196148,0.059,0.81,0.131,0.9887
"Netanyahu to be invited to form government, paving way for return of Israel's longest-serving leader",2022-11-11,46.0,0.028086956521739127,0.4056086956521739,0.044565217391304354,0.06495869565217392,0.052,0.846,0.101,0.989
Gulf Arab states can't give up oil. But they can slash their emissions,2022-11-11,47.0,0.0,0.014655737704918032,0.0017377049180327868,0.004852459016393442,0.09,0.801,0.109,0.9812
Opinion: What Europe makes of America's election result,2022-11-09,48.0,0.0,0.02322857142857143,0.005342857142857143,0.01853142857142857,0.05,0.862,0.088,0.9835
How a rule change helped Netanyahu win Israel's elections,2022-11-07,49.0,0.0013442622950819673,0.10827868852459017,0.021524590163934428,0.07580983606557376,0.117,0.767,0.116,-0.649
Opinion: What a Netanyahu comeback means for Israel -- and the world,2022-11-03,50.0,0.021854545454545453,0.38232727272727285,0.05032727272727274,0.10111999999999999,0.071,0.793,0.135,0.9986
Israel Prime Minister Yair Lapid congratulates Benjamin Netanyahu on election victory,2022-11-03,51.0,0.028923076923076923,0.6732307692307692,0.06707692307692309,0.14329999999999998,0.055,0.864,0.081,0.7921
A far-right surge is set to put Netanyahu back in power. Who are his extremist allies?,2022-11-02,52.0,0.005697674418604651,0.18169767441860465,0.021906976744186044,0.05546976744186046,0.084,0.805,0.112,0.9759
Netanyahu is back. Here's what that means for Israel,2022-11-02,53.0,0.004088235294117648,0.23827941176470588,0.022308823529411763,0.06779117647058823,0.116,0.787,0.097,-0.9956
"Netanyahu on course to lead Israel's most right-wing government ever, partial Israel results suggest",2022-11-02,54.0,0.004714285714285714,0.3475714285714286,0.028666666666666667,0.08783809523809524,0.033,0.834,0.133,0.9946
"In Brazil and Israel, leaders show Trump there can be political next acts",2022-11-02,55.0,0.0027209302325581397,0.05867441860465117,0.008372093023255813,0.024590697674418602,0.09,0.78,0.131,0.9955
Netanyahu on brink of comeback as Israeli exit polls point to narrow majority for ex-PM,2022-11-01,56.0,0.010568181818181817,0.3005227272727273,0.029818181818181813,0.06504772727272728,0.057,0.836,0.108,0.9938
Netanyahu eyes comeback as Israel votes in fifth election in four years,2022-11-01,57.0,0.008326530612244898,0.23679591836734692,0.02016326530612245,0.05380204081632653,0.097,0.808,0.094,-0.9732
Netanyahu eyes extremist political support in comeback attempt,2022-10-28,58.0,0.020906666666666667,0.3758666666666667,0.029893333333333334,0.05369600000000001,0.105,0.804,0.092,-0.9803
Gulf states use new oil riches to gain regional influence,2022-10-31,59.0,0.001,0.05177142857142857,0.004371428571428571,0.011481428571428573,0.078,0.845,0.077,-0.9673
Five elections in four years: What's the deal with Israeli politics?,2022-10-30,60.0,0.002642857142857143,0.1278809523809524,0.012333333333333333,0.03807142857142857,0.024,0.801,0.175,0.9993
The world leaders who refuse to leave the stage,2022-10-27,61.0,0.0,0.04894444444444444,0.006611111111111111,0.026483333333333334,0.105,0.815,0.08,-0.9266
5 ways the Israel-Lebanon maritime deal matters,2022-10-12,62.0,0.0,0.03125,0.0,0.0,0.085,0.809,0.106,0.98
Opinion: Jared Kushner settles a few scores,2022-08-29,63.0,0.000515625,0.012734375,0.002390625,0.0139953125,0.077,0.827,0.096,0.9818
Why Hamas stayed out of the latest Gaza conflict,2022-08-08,64.0,0.006035087719298246,0.04143859649122807,0.005157894736842106,0.0036807017543859645,0.122,0.793,0.085,-0.9972
Israel's Prime Minister makes rare allusion to country's nuclear weapons arsenal,2022-08-02,65.0,0.0,0.0913,0.0087,0.02732,0.079,0.85,0.072,-0.7184
Why Joe Biden's fist bump with MBS was such a disaster,2022-07-17,66.0,0.00228125,0.0220625,0.00690625,0.02321875,0.054,0.84,0.106,0.9907
Opinion: Biden's risky fist bump with MBS,2022-07-17,67.0,0.0008636363636363636,0.014287878787878787,0.0,-0.006386363636363636,0.121,0.776,0.102,-0.9909
Biden tries to ease worries over US commitment to the Middle East in meetings with key leaders,2022-07-16,68.0,0.00154,0.0175,0.00096,-0.005464,0.079,0.808,0.114,0.9921
Saudi Arabia opens airspace to Israeli flights,2022-07-15,69.0,0.004277777777777778,0.04861111111111111,0.0026666666666666666,-0.015177777777777778,0.017,0.854,0.129,0.9941
A 'Middle East NATO'? Why Iran is closely watching Biden's regional trip,2022-07-15,70.0,0.004422535211267606,0.03305633802816901,0.004788732394366197,-0.0068197183098591555,0.05,0.871,0.079,0.989
"Biden says diplomacy is still the best way to keep Iran from getting a nuclear weapon, despite Israeli skepticism",2022-07-14,71.0,0.004868421052631579,0.04702631578947368,0.0007368421052631579,-0.02138421052631579,0.041,0.798,0.16,0.9992
Fist bumps instead of handshakes: Biden looks to 'minimize contact' in Israel and Saudi Arabia,2022-07-13,72.0,0.004607142857142857,0.031107142857142858,0.0,-0.020425,0.059,0.877,0.064,0.4389
What not to expect from Biden's Jerusalem trip,2022-07-11,73.0,0.001855072463768116,0.0672463768115942,0.00336231884057971,0.009144927536231886,0.09,0.811,0.099,-0.8063
Opinion: Biden is heading to the Middle East for one simple reason,2022-07-10,74.0,0.001586206896551724,0.07337931034482759,0.011241379310344827,0.026624137931034488,0.103,0.772,0.125,0.9824
