title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
Blinken reminds Israel Biden admin committed to 'two-state solution ...,2021-03-08 02:33:00,0.0,0.01676923076923077,0.552076923076923,0.046538461538461535,0.19164615384615385,0.038,0.876,0.087,0.9676
"Ukraine decries Israel, Russia chat and suggests 'change of policy ...",2021-03-08 02:33:00,1.0,0.014352941176470587,0.26023529411764706,0.019470588235294118,0.022099999999999998,0.1,0.821,0.078,-0.979
"Syria says Israeli airstrike shut down Damascus airport, killing 2 ...",2021-03-08 02:33:00,2.0,0.016823529411764706,0.3122941176470588,0.02382352941176471,0.011647058823529415,0.103,0.847,0.051,-0.9904
Fight over Jerusalem's Temple Mount holy site: Why is it so ...,2021-03-08 02:33:00,3.0,0.0033513513513513515,0.062013513513513516,0.0021891891891891893,0.00011081081081080985,0.058,0.897,0.045,-0.9711
Israeli ambassador slams UN for meeting over visit to Temple Mount ...,2021-03-08 02:33:00,4.0,0.009727272727272727,0.10487878787878789,0.006606060606060606,-0.01604848484848485,0.091,0.829,0.08,-0.9575
