title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
Opinion: Why Netanyahu is suddenly a lot less friendly with Putin,2023-02-07T15:24:25Z,0.0,0.00831578947368421,0.22678947368421054,0.028026315789473684,0.08624473684210526,0.087,0.786,0.127,0.9888
Opinion: Mitt Romney's moments of truth,2023-02-12T13:09:14Z,1.0,0.0,0.00779047619047619,0.0017333333333333333,0.006847619047619048,0.077,0.81,0.113,0.9987
Two dead including child as car rams people at Jerusalem bus stop,2023-02-10T13:23:35Z,2.0,0.0,0.0625,0.0,0.0,0.115,0.849,0.036,-0.9903
Netanyahu outlines vision for two-state solution -- without Palestinian sovereignty,2023-02-01T15:26:26Z,3.0,0.021776119402985076,0.13549253731343286,0.021835820895522388,-0.011425373134328357,0.105,0.793,0.102,-0.9785
"Opinion: Netanyahu wants peace, but offers few solutions",2023-02-01T19:53:27Z,4.0,0.008472222222222221,0.24602777777777776,0.02327777777777778,0.06606944444444444,0.101,0.784,0.116,0.9349
Israel targets Gaza with airstrikes after intercepting rocket attack,2023-02-02T06:44:02Z,5.0,0.021875,0.09775,0.005375,-0.074925,0.128,0.813,0.06,-0.985
"'It's all empty promises': Palestinians feel betrayed by US, warn there's only so much they can bear",2023-02-01T14:50:50Z,6.0,0.006423728813559322,0.053372881355932204,0.008016949152542373,0.008147457627118642,0.129,0.744,0.128,-0.9693
"5 things to know for February 2: Ice storm, Debt limit, Middle East, Abortion, Crypto",2023-02-02T11:44:30Z,7.0,0.001822222222222222,0.054599999999999996,0.010244444444444443,0.046311111111111115,0.103,0.803,0.094,-0.9393
