title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
"Blinken announces additional US assistance to Palestinians, says ...",2021-05-25 15:13:00,32.0,0.010466666666666668,0.17733333333333334,0.012266666666666667,0.011133333333333332,0.067,0.824,0.109,0.9564
Bernie Sanders calls Hamas a 'terrorist group' but says Israeli ...,2021-05-23 12:00:00,33.0,0.025933333333333333,0.22664444444444445,0.014044444444444444,-0.05108,0.195,0.755,0.05,-0.9995
'Special Report' All-Star panel on Biden pressuring Israel to de ...,2021-05-20 14:15:00,34.0,0.0029681978798586574,0.06254063604240283,0.005166077738515901,0.00751024734982332,0.092,0.805,0.103,0.9958
Israel blasts Bella Hadid for joining pro-Palestinian march | Fox News,2021-05-16 19:43:00,35.0,0.0038333333333333336,0.04677777777777778,0.004944444444444444,0.011238888888888889,0.069,0.813,0.119,0.954
Senior adviser to Israeli prime minister optimistic that cease-fire will ...,2021-05-23 12:23:00,36.0,0.016508684863523568,0.3290645161290324,0.041528535980148884,0.06201066997518612,0.077,0.799,0.124,0.9999
LIVE UPDATES: Israel approves cease-fire agreement with Hamas ...,2021-05-20 17:27:00,37.0,0.0222,0.33499999999999996,0.0428,-0.004820000000000002,0.065,0.852,0.083,0.3597
"LIVE UPDATES: 2 killed in Israel from Gaza rocket strike, while West ...",2021-05-18 11:19:00,38.0,0.0,0.0,0.0,0.0,0.153,0.8,0.047,-0.9849
"GOP resolution backs Israel's 'right to defend itself,' omits call for ...",2021-05-17 21:46:00,39.0,0.011105263157894736,0.04152631578947369,0.0,-0.04702105263157894,0.133,0.752,0.115,-0.8975
IDF spokesperson on rocket attacks: Iran had 'hands on involvement ...,2021-05-23 16:49:00,40.0,0.006217391304347826,0.03434782608695652,0.00291304347826087,-0.01747391304347826,0.138,0.79,0.072,-0.9963
Pro-Israel voices rip liberals who claim Israel defends itself too ...,2021-05-19 14:04:00,41.0,0.021055555555555553,0.16702777777777778,0.034138888888888885,0.017638888888888888,0.154,0.721,0.125,-0.9948
Mayim Bialik speaks out on Israeli-Palestinian conflict: 'Devastating ...,2021-05-12 20:44:00,42.0,0.009518518518518518,0.02611111111111111,0.0013703703703703703,-0.033,0.135,0.759,0.107,-0.9672
"Netanyahu tries to go 'scorched earth' in last speech, swipes at ...",2021-06-14 04:08:00,43.0,0.05233333333333334,0.6788,0.06893333333333333,0.06728000000000002,0.074,0.846,0.08,-0.2148
"Netanyahu, facing ouster, claims his potential replacement can't ...",2021-06-04 05:26:00,44.0,0.06215384615384616,0.6454615384615384,0.0616923076923077,0.012623076923076916,0.073,0.878,0.049,-0.9019
Netanyahu foes push for quick vote to end his 12-year rule | Fox News,2021-06-03 08:41:00,45.0,0.07454999999999999,0.56145,0.06405,-0.009685000000000004,0.104,0.811,0.085,-0.92
"Netanyahu slams Iran nuclear deal possibility, willing to risk 'friction ...",2021-06-01 14:03:00,46.0,0.04346666666666667,0.4972666666666666,0.05926666666666667,0.10111333333333335,0.047,0.88,0.073,0.7612
Israeli PM Netanyahu opponents say they have reached coalition ...,2021-06-02 16:52:00,47.0,0.030000000000000002,0.32061538461538464,0.03384615384615385,0.009923076923076923,0.05,0.845,0.105,0.9705
Israel's Netanyahu pledges 'we'll be back' as record 12-year run as ...,2021-06-13 14:04:00,48.0,0.03053846153846154,0.8003076923076924,0.09223076923076924,0.12935384615384615,0.044,0.869,0.087,0.936
Who is Naftali Bennett? The man slated to replace Benjamin ...,2021-06-02 22:04:00,49.0,0.006,0.35192307692307695,0.02669230769230769,0.13454615384615384,0.04,0.874,0.086,0.967
"Isaac Herzog elected Israel's president, following in father's ...",2021-06-02 10:40:00,50.0,0.0063076923076923076,0.2053076923076923,0.019153846153846153,0.1207923076923077,0.053,0.871,0.076,0.7783
"Who is Naftali Bennett, Israel's new leader? | Fox News",2021-06-14 10:20:00,51.0,0.04710526315789473,0.4882105263157895,0.04368421052631579,0.0623894736842105,0.077,0.826,0.097,0.9533
"Biden congratulates Israel's incoming PM Naftali Bennett, vows ...",2021-06-13 16:00:00,52.0,0.01804545454545455,0.5265,0.046363636363636364,0.11266363636363635,0.035,0.865,0.1,0.9789
Pentagon chief Austin to discuss Iran's 'malign' behavior with Israeli ...,2021-06-02 16:15:00,53.0,0.021105263157894738,0.14957894736842106,0.03978947368421053,0.09896315789473685,0.09,0.76,0.15,0.9682
