title,date,index,neg_lbl,pos_lbl,neu_lbl,neg_s,neu_s,pos_s,compound_s,pos,neg,neu,compound
Michael Moore predicts Donald Trump's 'imprisonment' during ...,2021-01-21 09:15:00,39.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump lawyer slams Georgia Secretary of State Raffensperger for ...,2021-01-04 15:19:00,40.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Rand Paul calls Trump impeachment trial 'dead on arrival' after 45 ...,2021-01-26 23:56:00,41.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Anderson Cooper slammed for comment on Trump supporters and ...,2021-01-08 14:02:00,42.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Stripe stops processing payments for Trump campaign website | Fox ...,2021-01-11 03:55:00,43.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Ben & Jerry's calls for Trump's removal after Capitol riots, urges 25th ...",2021-01-08 15:03:00,44.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
William McGurn: Capitol riots and all of Donald Trump's deplorabes ...,2021-01-12 07:42:00,45.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Katie Couric cheers on Trump's impeachment, says GOP lawmakers ...",2021-01-16 01:51:00,46.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
House Democrats introduce Trump impeachment resolution ...,2021-01-11 14:38:00,47.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump deletes Capitol tweets that sent account into lockdown, will ...",2021-01-07 10:29:00,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
McCarthy reacts to leaked phone call of Trump pressing Georgia's ...,2021-01-04 12:52:00,49.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"GOP sours on Trump, but many cling to election hoax | Fox News",2021-01-15 16:15:00,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump supporters on American Airlines flight clash with passengers ...,2021-01-07 09:34:00,51.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Ivanka Trump and Jared Kushner lease Miami condo following $32 ...,2021-01-20 08:03:00,52.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Dems determined to 'punish' and 'degrade' Trump supporters with ...,2021-01-21 13:59:00,53.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump slams China's Huawei, halting shipments from Intel, others ...",2021-01-17 14:51:00,54.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
YouTube suspends Trump's ability to upload content indefinitely ...,2021-01-13 00:42:00,55.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"McConnell furious with president, supports move to initiate ...",2021-01-12 19:03:00,56.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Donald Trump pardons, commutes Lil Wayne, Kodak Black ...",2021-01-20 08:21:00,57.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Howard Kurtz: Media personalities' call to 'deprogram' Trump voters ...,2021-01-19 17:53:00,58.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Deroy Murdock: Final, fair look at Trump presidency shows ...",2021-01-16 07:00:00,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump exits White House with drop in approval ratings | Fox News,2021-01-19 10:40:00,60.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Gab gaining 10,000 users per hour, CEO claims, after Trump's ...",2021-01-10 03:36:00,61.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump acquitted in second impeachment trial on charge of inciting ...,2021-02-13 15:50:00,62.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
How much will Trump impeachment trial cost? | Fox Business,2021-02-13 18:20:00,63.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump's impeachment trial: Everything you need to know | Fox News,2021-02-10 06:22:00,64.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump says he requested 10K National Guard troops at Capitol on ...,2021-03-01 06:44:00,65.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Gold-colored Trump statue at CPAC draws crowd | Fox News,2021-02-27 15:01:00,66.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trumps received COVID-19 vaccines at White House in January ...,2021-03-02 08:33:00,67.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Former Trump campaign communications director Murtaugh joining ...,2021-03-01 08:01:00,68.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"Trump, ex-campaign manager Brad Parscale, meet at Mar-a-Lago ...",2021-02-16 20:37:00,69.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
"John Kerry 'colluded' with Iran to undermine Trump, report says | Fox ...",2021-02-22 15:09:00,70.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
Trump resigns from SAG: 'I no longer wish to be associated with your ...,2021-02-04 12:52:00,71.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0
