title,date,index,neg_s,neu_s,pos_s,compound_s,neg,neu,pos,compound
Opinion: Don't expect Biden to confront Netanyahu anytime soon,2023-01-04,35.0,0.023901408450704226,0.2833521126760564,0.030760563380281686,0.017098591549295772,0.098,0.786,0.116,0.9837
Israel's rightward shift leaves its new Arab allies in an awkward spot,2023-01-04,36.0,0.005563380281690141,0.22036619718309863,0.013507042253521126,0.029164788732394364,0.075,0.827,0.098,0.9902
Israel's far-right Ben Gvir visits flashpoint Jerusalem holy site as Palestinians slam 'provocation',2023-01-03,37.0,0.011022727272727273,0.12011363636363637,0.005227272727272727,-0.025686363636363632,0.102,0.819,0.079,-0.9893
Four things to watch out for in the Middle East in 2023,2023-01-02,38.0,0.009076923076923078,0.18495384615384616,0.021353846153846154,0.037758461538461525,0.106,0.804,0.09,-0.9881
Benjamin Netanyahu sworn in as leader of Israel's likely most right-wing government ever,2022-12-29,39.0,0.014818181818181819,0.45275757575757575,0.04757575757575757,0.08308787878787881,0.049,0.833,0.118,0.9956
Jordan king warns of 'red lines' in Jerusalem as Netanyahu returns to office,2022-12-28,40.0,0.008905660377358491,0.29326415094339625,0.01858490566037736,0.027033962264150946,0.071,0.834,0.095,0.9795
"December 22, 2022 Russia-Ukraine news",2022-12-21,41.0,0.03054347826086955,0.336332298136646,0.03995341614906831,0.028883540372670807,0.085,0.804,0.111,0.9997
Netanyahu informs Israeli president he has formed government,2022-12-21,42.0,0.005461538461538461,0.3373846153846154,0.041692307692307695,0.10498461538461538,0.011,0.871,0.117,0.987
"Opinion: What 2022's elections taught me about humanity, politics and 'magic sauce'",2022-12-20,43.0,0.0,0.049979166666666665,0.012520833333333333,0.03215416666666667,0.057,0.844,0.098,0.994
Will Erdogan finally deliver on his vow to invade northern Syria?,2022-11-25,44.0,0.013684931506849315,0.12910958904109593,0.007876712328767122,-0.02987808219178082,0.089,0.82,0.091,-0.7698
Israeli President invites Netanyahu to form government,2022-11-13,45.0,0.02848,0.60688,0.08464,0.196556,0.054,0.812,0.134,0.9902
"Netanyahu to be invited to form government, paving way for return of Israel's longest-serving leader",2022-11-11,46.0,0.031608695652173904,0.5179782608695652,0.05908695652173913,0.0734304347826087,0.054,0.844,0.102,0.988
Gulf Arab states can't give up oil. But they can slash their emissions,2022-11-11,47.0,0.012688524590163935,0.0801311475409836,0.0055409836065573774,-0.026293442622950816,0.086,0.803,0.111,0.9911
Opinion: What Europe makes of America's election result,2022-11-09,48.0,0.0,0.02322857142857143,0.005342857142857143,0.01853142857142857,0.05,0.862,0.088,0.9835
How a rule change helped Netanyahu win Israel's elections,2022-11-07,49.0,0.006737704918032787,0.14763934426229508,0.0259344262295082,0.06897868852459016,0.117,0.768,0.115,-0.834
Opinion: What a Netanyahu comeback means for Israel -- and the world,2022-11-03,50.0,0.03256363636363636,0.5335272727272727,0.07023636363636364,0.12164,0.072,0.792,0.136,0.9986
Israel Prime Minister Yair Lapid congratulates Benjamin Netanyahu on election victory,2022-11-03,51.0,0.03184615384615385,0.6748461538461539,0.06253846153846153,0.0847230769230769,0.059,0.873,0.068,0.0581
A far-right surge is set to put Netanyahu back in power. Who are his extremist allies?,2022-11-02,52.0,0.0063720930232558145,0.295046511627907,0.02416279069767442,0.05546976744186046,0.087,0.807,0.106,0.9284
Netanyahu is back. Here's what that means for Israel,2022-11-02,53.0,0.0061911764705882355,0.28679411764705887,0.030500000000000003,0.10008088235294119,0.117,0.788,0.095,-0.9964
"Netanyahu on course to lead Israel's most right-wing government ever, partial Israel results suggest",2022-11-02,54.0,0.01842857142857143,0.41928571428571426,0.038476190476190476,0.053776190476190464,0.035,0.842,0.123,0.992
"In Brazil and Israel, leaders show Trump there can be political next acts",2022-11-02,55.0,0.006837209302325581,0.11874418604651163,0.013953488372093025,0.027586046511627906,0.091,0.776,0.133,0.9955
Netanyahu on brink of comeback as Israeli exit polls point to narrow majority for ex-PM,2022-11-01,56.0,0.011431818181818182,0.301,0.02847727272727272,0.047740909090909105,0.058,0.838,0.104,0.9917
Netanyahu eyes comeback as Israel votes in fifth election in four years,2022-11-01,57.0,0.010755102040816327,0.3302244897959184,0.026367346938775512,0.06533265306122449,0.1,0.811,0.089,-0.9867
Netanyahu eyes extremist political support in comeback attempt,2022-10-28,58.0,0.038108108108108114,0.6299594594594596,0.06167567567567567,0.07985135135135135,0.107,0.802,0.091,-0.9878
Gulf states use new oil riches to gain regional influence,2022-10-31,59.0,0.0058428571428571436,0.0861,0.008042857142857142,-0.0006642857142857164,0.079,0.843,0.078,-0.9673
Five elections in four years: What's the deal with Israeli politics?,2022-10-30,60.0,0.008119047619047618,0.2706904761904762,0.030714285714285715,0.0714642857142857,0.024,0.81,0.166,0.9992
The world leaders who refuse to leave the stage,2022-10-27,61.0,0.0,0.09888888888888889,0.012222222222222223,0.026483333333333334,0.108,0.81,0.082,-0.9266
5 ways the Israel-Lebanon maritime deal matters,2022-10-12,62.0,0.007109374999999999,0.06862499999999999,0.002390625,-0.006801562500000002,0.085,0.809,0.106,0.98
Opinion: Jared Kushner settles a few scores,2022-08-29,63.0,0.000609375,0.012765625,0.00225,0.0128515625,0.078,0.827,0.095,0.9742
Why Hamas stayed out of the latest Gaza conflict,2022-08-08,64.0,0.006333333333333334,0.05649122807017543,0.007350877192982457,0.009645614035087721,0.123,0.792,0.085,-0.9972
Israel's Prime Minister makes rare allusion to country's nuclear weapons arsenal,2022-08-02,65.0,0.0,0.09090000000000001,0.0091,0.02732,0.079,0.849,0.072,-0.7184
Why Joe Biden's fist bump with MBS was such a disaster,2022-07-17,66.0,0.00228125,0.0220625,0.00690625,0.02321875,0.054,0.84,0.106,0.9907
Opinion: Biden's risky fist bump with MBS,2022-07-17,67.0,0.0008636363636363636,0.014287878787878787,0.0,-0.006386363636363636,0.121,0.776,0.102,-0.9909
Biden tries to ease worries over US commitment to the Middle East in meetings with key leaders,2022-07-16,68.0,0.00154,0.0175,0.00096,-0.005464,0.079,0.808,0.114,0.9921
Saudi Arabia opens airspace to Israeli flights,2022-07-15,69.0,0.004277777777777778,0.04861111111111111,0.0026666666666666666,-0.015177777777777778,0.017,0.854,0.129,0.9941
A 'Middle East NATO'? Why Iran is closely watching Biden's regional trip,2022-07-15,70.0,0.004901408450704225,0.07069014084507043,0.008915492957746478,0.003819718309859154,0.05,0.871,0.079,0.989
"Biden says diplomacy is still the best way to keep Iran from getting a nuclear weapon, despite Israeli skepticism",2022-07-14,71.0,0.004868421052631579,0.04702631578947368,0.0007368421052631579,-0.02138421052631579,0.042,0.798,0.161,0.9992
Fist bumps instead of handshakes: Biden looks to 'minimize contact' in Israel and Saudi Arabia,2022-07-13,72.0,0.004607142857142857,0.031107142857142858,0.0,-0.020425,0.059,0.877,0.064,0.4389
What not to expect from Biden's Jerusalem trip,2022-07-11,73.0,0.001855072463768116,0.06717391304347826,0.003434782608695652,0.009144927536231886,0.091,0.81,0.1,-0.8063
Opinion: Biden is heading to the Middle East for one simple reason,2022-07-10,74.0,0.0008620689655172415,0.07227586206896552,0.01306896551724138,0.027803448275862074,0.102,0.774,0.124,0.983
